timestamp,tweet_text,all_hashtags
,"- a mix between your grandma and a millennial 
- a slightly nicer book loving Paris Geller 
- Philippians 4:13📚",
2019-10-22 16:50:58,Expectation of writing a book VS. actually writing a book https://t.co/LzIwv3b8TM,[]
2019-10-22 05:32:19,@samreadingg Me always,[]
2019-10-22 05:30:13,@rhiannonthropp https://t.co/Q7BOQy9vjF,[]
2019-10-22 05:27:33,@tjreadsthestars I’m so ready!!,[]
2019-10-22 05:18:07,@MikaylaTweeting Its completely valid honestly https://t.co/uhNN6aPwsj,[]
2019-10-22 00:30:49,@AvgJoeReads @readwithcindy @rhiannonthropp *starts smiling*,[]
2019-10-22 00:04:56,"RT @readwithcindy: New video: https://t.co/hb1KuQlcz2  We've had our share of terrible love interests, but who is REALLY the worst? From He…",[]
2019-10-22 00:03:16,@aarnaspages Lol thank youuu😂😂,[]
2019-10-21 18:02:54,@aphroditereadss Go ahead flex on me,[]
2019-10-21 17:45:08,@SophiesBookNook https://t.co/1M1FDTbWng,[]
2019-10-21 17:05:48,@joceraptor Dang killing it,[]
2019-10-21 16:56:36,@jessethereader @puckspaperbacks Y’all got the luck of the Irish or something 😂 https://t.co/xiHCXgZvVT,[]
2019-10-21 16:48:14,@puckspaperbacks REALLY??,[]
2019-10-21 16:47:06,I have yet to meet a person who has actually won a goodreads giveaway *conspiracy music starts playing*,[]
2019-10-21 16:44:32,@karlisbooks https://t.co/rFMJOoZBLV,[]
2019-10-21 06:49:23,@karlisbooks Yes,[]
2019-10-21 04:54:56,@slytherinreads The taste https://t.co/wMJr2N2ld2,[]
2019-10-21 04:48:52,@rhiannonthropp King of mischief  *bakugo screams* cOuLd I de-GREENfy yOu??? going on night walks The friend I’d call in an emergency,[]
2019-10-21 02:14:35,@GenBookNonsense You’re doing the Lords work💜💜,[]
2019-10-20 23:40:24,@GobletOfFiction Excuse me I was not prepared- https://t.co/rfQzRMCs5U,[]
2019-10-20 23:36:34,@StoryGlyph @booktubeconnor @timatalks The power in these pictures tho💜✨,[]
2019-10-20 19:47:14,@booktubeawards @rhiannonthropp,[]
2019-10-20 19:18:06,@tjreadsthestars Heretics anonymous✨💜,[]
2019-10-20 18:21:51,@booktubeawards @aphroditereadss @alexandrarosely,[]
2019-10-20 18:14:06,@samreadingg https://t.co/p5pfZAoBN5,[]
2019-10-20 17:25:59,"Do you ever wish you were Oprah, but instead of cars you would just hand out copies of The Raven Boys?? No! Just me ... cool ... cool",[]
2019-10-20 15:48:43,@MookieReads Awwwww thank you so much ☺️💜,[]
2019-10-20 00:01:46,@bookswithshae @livreadsalatte I know right?? My life is made😂😂 Awww it was so lovely meeting you too!! 💜💜,[]
2019-10-20 00:00:10,@Liz_Cullen_ I knowwww I can’t believe it,[]
2019-10-19 23:59:53,@muggleglamour PLEASE!! It’s my fav!!,[]
2019-10-19 17:39:54,Last night I got to meet one of my favorite authors and talk about how much his work means to me!! I feel like the… https://t.co/NmW5QCvfW8,[]
2019-10-19 04:49:13,@booktubeawards @chandlerainsley,[]
2019-10-19 04:44:30,@booktubeawards @chanelletime,[]
2019-10-19 02:47:36,@booktubeawards @maryamongbooks @noriathereader,[]
2019-10-19 02:41:32,@booktubeawards @whittynovels IS THE BEST!!,[]
2019-10-19 02:38:30,@booktubeawards @GobletOfFiction,[]
2019-10-19 02:37:44,@booktubeawards @WitchAThon,[]
2019-10-19 02:37:21,@booktubeawards @blondewithab00k @kerribookbelle,[]
2019-10-19 02:35:53,@booktubeawards @readwithcindy,[]
2019-10-18 16:43:54,@itsabel98 @KylieJenner Starts singing *rIsE aNd sHiNe*,[]
2019-10-18 05:03:52,@AliCorvere I was just thinking that!!,[]
2019-10-17 21:28:05,@GobletOfFiction @_julialeigh Oh my gosh I love you💜😂,[]
2019-10-17 19:31:06,@rhiannonthropp Seeeeeeeeee this is why friends to lovers is the best!! 💜✨,[]
2019-10-17 19:06:34,@samreadingg Ma’am-,[]
2019-10-17 18:12:15,RT @SixReadathon: @snowwhitereader @ettubrody @PageScreenTay @WildeBookGarden @maakbooks @linh_hermione 👀 https://t.co/eDLTGcyb8B,[]
2019-10-17 17:54:07,I just typed “read” and it autocorrected into “readwithcindy” welp at least it knows my priorities,[]
2019-10-17 16:04:30,@LouAndLife Oh my gosh LOU thank you💜😂😂,[]
2019-10-17 02:16:12,@littlereadersco Oh my gosh I love you 😂💜💜,[]
2019-10-16 22:18:32,@aphroditereadss Lol mission accomplished,[]
2019-10-16 18:02:15,NEW VIDEO!! Why Twilight Is Better Than The Secret History https://t.co/w0vDo1w2yO via @YouTube https://t.co/pRig80SUB4,[]
2019-10-16 18:00:17,@kerribookbelle I stan a small musical interlude,[]
2019-10-15 23:21:04,@chaptercviii https://t.co/9grzNp5JJE,[]
2019-10-15 23:15:33,@jessethereader @DEADLINE The best YA Christmas book is getting adapted 👌🏻💜 nice,[]
2019-10-15 23:14:13,@readwithcindy LETS GOOOOOO,[]
2019-10-15 17:51:03,@rhiannonthropp Rhiannon I’m-,[]
2019-10-15 05:16:10,@bostonsbooks Yes,[]
2019-10-15 05:11:51,@slytherinreads Did they play lovebug?? https://t.co/6Wvrw1nwXQ,[]
2019-10-14 23:56:54,@karlisbooks Yesss!! Suit up!!,[]
2019-10-14 23:50:59,@karlisbooks Lets join forces,[]
2019-10-14 23:03:40,@aphroditereadss https://t.co/LkBOWo9Cn8,[]
2019-10-14 21:17:43,@fairytaleprotag @kzabrekker AHHH he’s the best!! This makes me so happy!!,[]
2019-10-14 21:14:19,@karlisbooks MOOOOOOODDD,[]
2019-10-14 20:02:23,@silverspines https://t.co/q8XU0gE1LI,[]
2019-10-14 18:53:37,Sooooooooooo should I get a TikTok??,[]
2019-10-14 16:16:09,Ummmm y’all I’m a little shook right now ... this is crazy!! https://t.co/AywRdlRXAU,[]
2019-10-14 05:25:53,@elaines2fab4you The nerve of some people,[]
2019-10-14 05:03:38,@blondeboooks So accurate,[]
2019-10-13 21:12:54,@MikaylaTweeting 💜ummm absolutely💜,[]
2019-10-13 21:02:11,@livreadsalatte https://t.co/SWn0Sp55TO,[]
2019-10-13 18:35:48,"When you have an idea for a TikTok, but don't want to download the app https://t.co/zbx7wdlPWU",[]
2019-10-13 09:23:07,@worldofleahjane https://t.co/3Ly8Q3Rs4f,[]
2019-10-13 05:14:59,@soleildezwart Lol yes do it,[]
2019-10-12 23:08:03,@readwithcindy @greyreadsbooks I screamed-,[]
2019-10-12 23:02:01,@chanelletime Yessss welcome to the cult,[]
2019-10-12 21:00:15,@slytherinreads https://t.co/8GCp4kXqfA,[]
2019-10-12 20:59:30,@aphroditereadss Yo you’ll be proud of me it’s from Goodwill 🙌🏻💜,[]
2019-10-12 20:59:03,@littlereadersco 😉💜💜,[]
2019-10-12 17:47:30,Channeling Blair Waldorf today✨ https://t.co/pRRAuiYvQh,[]
2019-10-12 15:15:30,@SianaBananaRead I 100% agree,[]
2019-10-12 03:15:58,@karlisbooks https://t.co/UK9znnIVTH,[]
2019-10-11 22:34:57,@littlereadersco 👌🏻👌🏻💜,[]
2019-10-11 21:22:01,@AvgJoeReads Woooowww I can’t handle it!! This is amazing https://t.co/71fXTljGis,[]
2019-10-11 17:27:45,I’m about to give a PowerPoint presentation on why you should listen to Six The Musical. Sometimes I love school,[]
2019-10-10 22:29:17,@carolinesmusic1 https://t.co/38f9GwPADW,[]
2019-10-10 20:02:49,@readwithcindy YESSSSSSSS,[]
2019-10-10 19:27:52,@TheWordN3rd Oh my gosh yessss!! Because a good plot twist will surprise me no matter what happens!! You get it!! 💜💜💜,[]
2019-10-10 17:21:27,I’m recently discovered there are two types of stories: how something happened vs. what happened. And for me the ho… https://t.co/gsf0mFwVTf,[]
2019-10-10 16:22:14,@karlisbooks Is it serpent and dove??,[]
2019-10-10 16:19:54,@xonikkee https://t.co/oLIHnwx0Ok,[]
2019-10-10 16:15:46,@littlereadersco Two👏🏻more👏🏻days👏🏻,[]
2019-10-10 16:09:07,@littlereadersco ME TOO!!,[]
2019-10-10 15:58:40,"@VendiWrites You got this, you beautiful smart goddess",[]
2019-10-10 15:53:33,@AG_Macdonald Awe thanks A.G. https://t.co/Kd8H1I3SgY,[]
2019-10-10 15:48:49,@littlereadersco @RachaelMarie_BT Ahhh thank you thank you,[]
2019-10-10 15:48:28,@AvgJoeReads @RachaelMarie_BT ☺️thanks joe☺️,[]
2019-10-09 18:43:44,@kerribookbelle “Kerri hoooowwww” https://t.co/SIi1a4UbSq,[]
2019-10-09 18:14:27,@xonikkee 💜😉💜😉,[]
2019-10-09 18:08:44,People Mentioned: @sleepingcrowns @bookswithchloe @RachaelMarie_BT @aphroditereadss @rhiannonthropp… https://t.co/8x1v2cbueh,[]
