timestamp,tweet_text,all_hashtags
2019-11-01 18:31:31,@KTsbooknook426 Its saying I’ve made nothing over the past month,[]
2019-11-01 18:20:37,My Adsense has been at the same amount for a few weeks now? Is that normal? I’ve had ads on all my videos since then,[]
2019-11-01 18:09:37,I accidentally bought two of both palettes so now I’m broke x2,[]
2019-11-01 17:39:01,"Sorry I can’t go, my anxiety said no :/",[]
2019-11-01 17:14:31,@rhiannonthropp Making you proud this Samhain season 🙌🏻,[]
2019-11-01 15:20:56,@lara_hansson 😂,[]
2019-11-01 15:20:26,@ettubrody https://t.co/jFU0CVQdEq,[]
2019-11-01 03:52:12,Where do you get those black and white striped long sleeve shirts that the e-boys wear? Asking for a friend,[]
2019-11-01 03:32:47,@readswithrachel I used to be in a sjm Facebook group and oh my god it was terrible,[]
2019-11-01 03:27:13,5 of 5 stars to The Devouring Gray by Christine Lynn Herman https://t.co/8QF4aqD1EZ,[]
2019-11-01 02:33:39,@kerribookbelle https://t.co/P9pQmVgJYj,[]
2019-11-01 02:33:25,"RT @kerribookbelle: this is Boulder, our deaf/special needs doggo. he wore two costumes today. LIKE for the vampire, RT for the banana spli…",[]
2019-11-01 02:15:24,@carlyreadss Those are the photos you /do/ see,[]
2019-11-01 02:14:42,@carlyreadss I was a very photogenic child idk what happened but I’m pissed,[]
2019-11-01 02:13:38,So my mom found that photo of me on Halloween circa 2005 https://t.co/9v1MgIYkwh,[]
2019-10-31 21:49:25,@miikaaailaaa Thank you 🥺,[]
2019-10-31 20:51:49,@asparagusreadin GOD BLESS YOU,[]
2019-10-31 20:51:39,RETWEET TO SAVE A LIFE https://t.co/NmusbzDo96,[]
2019-10-31 20:49:50,@asparagusreadin Sorcery,[]
2019-10-31 20:47:23,@asparagusreadin How omg https://t.co/prO8hIE90H,[]
2019-10-31 20:44:09,@omgitsyelhsa Providing years of trauma as they should 😂,[]
2019-10-31 20:43:40,@rhiannonthropp The person even has the fucking AVIATORS IM DONE,[]
2019-10-31 20:38:17,Here’s my sister wearing the costume a few years later (yes my mom saved it for her as well) https://t.co/8ZrbsyOjNg,[]
2019-10-31 20:37:25,@LeelynnReads She and every other adult thought it was hilarious lmao looking back it was really funny but poor kin… https://t.co/r11oIBLLQf,[]
2019-10-31 20:35:21,Ah yes Halloween. The anniversary of the time in kindergarten when my mom forced me to wear a giant blow up chicken… https://t.co/U3GS5nvyOg,[]
2019-10-31 19:06:44,Gideon the ninth (2019)   https://t.co/bezBtFo1SF,[]
2019-10-31 18:08:22,@BookstorePanic 🥰,[]
